# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:massf[0]-H2 17:massf[1]-O2 18:massf[2]-H2O 19:massf[3]-HO2 20:massf[4]-OH 21:massf[5]-O 22:massf[6]-H 23:massf[7]-N2 24:dt_chem 25:u 26:T 27:M_local
-7.958635511868851486e-03 4.509257109688448559e-05 0.000000000000000000e+00 9.677076335310308582e-14 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-7.934195793727054358e-03 4.479582381906156648e-05 0.000000000000000000e+00 1.007562254975805375e-13 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-7.908542869691283575e-03 4.448462853129748682e-05 0.000000000000000000e+00 1.037837704334091840e-13 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-7.881889977202972616e-03 4.416157840872979301e-05 0.000000000000000000e+00 1.057228570987039927e-13 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-7.854490121114542436e-03 4.382975260201691086e-05 0.000000000000000000e+00 1.064863273234881861e-13 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-7.826627505217021927e-03 4.349261302572198488e-05 0.000000000000000000e+00 1.060386510270706440e-13 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-7.798606276533227334e-03 4.315386866840462143e-05 0.000000000000000000e+00 1.043994674049288819e-13 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-7.770737473079322895e-03 4.281731820822836260e-05 0.000000000000000000e+00 1.016418224009616117e-13 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-7.743325336912188807e-03 4.248668499847794950e-05 0.000000000000000000e+00 9.788536607683468732e-14 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-7.716654252872147575e-03 4.216545967903760541e-05 0.000000000000000000e+00 9.328557848490438000e-14 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
